year,price
2012,100
2012,500
2012,
2012,
2012,600
2012,
2012,
2012,
2012,
2012,400
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,
2013,"5,000"
2013,
2013,
2014,
2014,
2014,
2014,
2014,
2014,
2014,
2014,
2014,
2014,
2014,
2014,
2014,55
2014,
2014,
2014,
2014,
2014,
2014,
2014,
2014,
2014,
2014,
2014,
2014,
2014,
2014,
2015,
2015,
2015,
2015,
2015,
2015,
2015,
2015,6565
2015,
2015,
2015,
2015,
2015,
2015,
2015,
2015,
2015,
2015,
2015,
2015,
2015,
2015,
2015,
2015,
2015,
2015,
2015,
2016,
2016,
2016,
2016,565
2016,
2016,
2016,
2016,
2016,
2016,
2016,
2016,
2016,
2016,
2016,
2016,
2016,
2016,
2016,
2016,
2016,
2016,
2016,
2016,
2016,
2016,
2016,
2017,
2017,
2017,
2017,
2017,
2017,
2017,566
2017,
2017,
2017,
2017,
2017,
2017,
2017,
2017,
2017,
2017,
2017,
2017,
2017,
2017,
2017,
2017,
2017,
2017,
2017,
2017,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,689
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2018,
2019,
2019,
2019,
2019,
2019,
2019,
2019,
2019,
2019,
2019,
2019,
2019,
2019,
2019,
2019,
2019,
2019,565
2019,
2019,
2019,
2019,
2019,
2019,
2019,
2019,
2019,
2019,
2020,
2020,
2020,
2020,
2020,
2020,
2020,
2020,
2020,
2020,
2020,
2020,
2020,
2020,
2020,
2020,
2020,559
2020,
2020,
2020,
2020,
2020,
2020,
2020,
2020,
2020,
2020,
2021,
2021,
2021,
2021,
2021,
2021,
2021,
2021,
2021,
2021,
2021,
2021,
2021,
2021,
2021,
2021,
2021,
2021,
2021,
2021,
2021,
2021,
2021,
2021,
2021,
2021,
2021,
2022,
2022,
2022,
2022,
2022,
2022,
2022,
2022,
2022,
2022,
2022,
2022,
2022,
2022,
2022,
2022,
2022,
2022,
2022,
2022,
2022,
2022,
2022,
2022,
2022,
2022,
2022,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
2023,
